ts,tag,value
1783986900,REACTOR_POWER_MW,3001.3
1783986900,GEN_POWER_MW,980.6
1783986900,CTRL_ROD_POS_PCT,95.2
1783986900,RCS_TEMP_C,292.16
1783986900,RCS_PRESS_BAR,155.15
1783986900,CHARGING_PUMP_A_RUN,1
1783986960,REACTOR_POWER_MW,3003.0
1783986960,GEN_POWER_MW,981.2
1783986960,CTRL_ROD_POS_PCT,94.9
1783986960,RCS_TEMP_C,291.65
1783986960,RCS_PRESS_BAR,154.84
1783986960,CHARGING_PUMP_A_RUN,1
1783987020,REACTOR_POWER_MW,2996.6
1783987020,GEN_POWER_MW,983.9
1783987020,CTRL_ROD_POS_PCT,95.1
1783987020,RCS_TEMP_C,292.12
1783987020,RCS_PRESS_BAR,154.92
1783987020,CHARGING_PUMP_A_RUN,1
1783987080,REACTOR_POWER_MW,2996.1
1783987080,GEN_POWER_MW,974.8
1783987080,CTRL_ROD_POS_PCT,95.2
1783987080,RCS_TEMP_C,292.26
1783987080,RCS_PRESS_BAR,155.20
1783987080,CHARGING_PUMP_A_RUN,1
1783987140,REACTOR_POWER_MW,2999.2
1783987140,GEN_POWER_MW,977.6
1783987140,CTRL_ROD_POS_PCT,95.1
1783987140,RCS_TEMP_C,291.63
1783987140,RCS_PRESS_BAR,155.16
1783987140,CHARGING_PUMP_A_RUN,1
1783987200,REACTOR_POWER_MW,3007.4
1783987200,GEN_POWER_MW,985.5
1783987200,CTRL_ROD_POS_PCT,94.8
1783987200,RCS_TEMP_C,291.90
1783987200,RCS_PRESS_BAR,155.09
1783987200,CHARGING_PUMP_A_RUN,1
1783987260,REACTOR_POWER_MW,2992.9
1783987260,GEN_POWER_MW,975.4
1783987260,CTRL_ROD_POS_PCT,95.0
1783987260,RCS_TEMP_C,292.19
1783987260,RCS_PRESS_BAR,154.86
1783987260,CHARGING_PUMP_A_RUN,1
1783987320,REACTOR_POWER_MW,3000.3
1783987320,GEN_POWER_MW,975.1
1783987320,CTRL_ROD_POS_PCT,95.0
1783987320,RCS_TEMP_C,292.05
1783987320,RCS_PRESS_BAR,155.09
1783987320,CHARGING_PUMP_A_RUN,1
1783987380,REACTOR_POWER_MW,3003.2
1783987380,GEN_POWER_MW,984.6
1783987380,CTRL_ROD_POS_PCT,95.1
1783987380,RCS_TEMP_C,291.80
